artist,track,time,genre
Destiny's Child,Independent Women Part I,3:38,Rock
Santana,"Maria, Maria",4:18,Rock
Savage Garden,I Knew I Loved You,4:07,Rock
Madonna,Music,3:45,Rock
"Aguilera, Christina",Come On Over Baby (All I Want Is You),3:38,Rock
Janet,Doesn't Really Matter,4:17,Rock
Destiny's Child,Say My Name,4:31,Rock
"Iglesias, Enrique",Be With You,3:36,Latin
Sisqo,Incomplete,3:52,Rock
Lonestar,Amazed,4:25,Country
N'Sync,It's Gonna Be Me,3:10,Rock
"Aguilera, Christina",What A Girl Wants,3:18,Rock
Vertical Horizon,Everything You Want,4:01,Rock
Creed,With Arms Wide Open,3:52,Rock
Aaliyah,Try Again,4:03,Rock
matchbox twenty,Bent,4:12,Rock
"Carey, Mariah",Thank God I Found You,4:14,Rock
"Hill, Faith",Breathe,4:04,Rap
Mya,Case Of The Ex (Whatcha Gonna Do),3:50,Rock
Dream,He Loves U Not,3:43,Rock
"Braxton, Toni",He Wasn't Man Enough,4:21,Rock
"Anthony, Marc",You Sang To Me,3:50,Latin
98¡,Give Me Just One Night (Una Noche),3:24,Rock
Destiny's Child,Jumpin' Jumpin',3:48,Rock
3 Doors Down,Kryptonite,3:53,Rock
Sisqo,Thong Song,4:05,Rock
"Aguilera, Christina",I Turn To You,4:00,Rock
"Houston, Whitney",My Love Is Your Love,4:16,Rock
Joe,I Wanna Know,4:57,Rock
"Jordan, Montell",Get It On.. Tonite,4:34,Rap
N'Sync,Bye Bye Bye,3:15,Rock
Eminem,The Real Slim Shady,4:42,Rap
Pink,Most Girls,4:06,Rock
"Mumba, Samantha",Gotta Tell You,3:19,Rock
Blaque,Bring It All To Me,3:46,Pop
"Elliott, Missy ""Misdemeanor""",Hot Boyz,3:51,Rap
"Gray, Macy",I Try,3:52,Rock
N'Sync,This I Promise You,4:23,Rock
Ruff Endz,No More,3:56,Rock
"Backstreet Boys, The",Show Me The Meaning Of Being Lonely,3:54,Rock
Nine Days,Absolutely (Story Of A Girl),3:09,Rock
"Dion, Celine",That's The Way It Is,4:03,Rock
Blink-182,All The Small Things,2:52,Rock
Eiffel 65,Blue (Da Ba Dee),3:29,Electronica
"Badu, Erkyah",Bag Lady,5:03,Rock
Pink,There U Go,3:23,Rock
