track,Sum_time
Sexual (Li Da Di),2328.0
Higher,2101.0
Don't Call Me Baby,1853.0
I Disappear,1722.0
Re-Arranged,1669.0
Can't Fight The Moonlight,1659.0
Change Your Mind,1652.0
My Baby You,1641.0
You Should've Told Me,1603.0
With Arms Wide Open,1590.0
Taking You Home,1499.0
What You Want,1492.0
I Wanna Be With You,1476.0
Californication,1476.0
Amazed,1470.0
You'll Always Be Loved By Me,1460.0
I'll Be,1439.0
Mirror Mirror,1434.0
Angels,1433.0
Flowers On The Wall,1426.0
Kryptonite,1403.0
Where I Wanna Be,1402.0
Feels Like Love,1383.0
Could I Have This Kiss Forever,1373.0
Unconditional,1371.0
That's What I'm Looking For,1362.0
Open My Heart,1355.0
Rollin',1342.0
Loser,1342.0
Kiss This,1339.0
Emotional,1324.0
Treat Her Like A Lady,1322.0
Hey Papi,1318.0
Lessons Learned,1315.0
Last Resort,1305.0
Been There,1300.0
A Puro Dolor (Purest Of Pain),1287.0
When You Need My Love,1283.0
It's So Hard,1283.0
Buy Me A Rose,1278.0
The Chain Of Love,1270.0
Love's The Only House,1263.0
I Will.. But,1261.0
Carlene,1259.0
No More Rain (In This Cloud),1255.0
Who Let The Dogs Out,1250.0
The Light,1249.0
Whistle While You Twurk,1244.0
Got To Get It,1241.0
Couldn't Last A Moment,1236.0
One Voice,1226.0
Breathe,1220.0
Bad Boyz,1216.0
The Best Of Me,1215.0
Go On,1214.0
Smile,1206.0
Feelin' Good,1195.0
I Lost It,1189.0
Whatever,1181.0
Prayin' For Daylight,1180.0
That's The Kind Of Mood I'm In,1179.0
She's More,1176.0
What I Need To Do,1173.0
You Owe Me,1172.0
Falls Apart,1169.0
L.A. Song,1166.0
It Must Be Love,1162.0
"Left, Right, Left",1162.0
You Won't Be Lonely Now,1153.0
Your Everything,1152.0
Pop A Top,1149.0
Just Another Day In Paradise,1143.0
Just Be A Man About It,1143.0
Dance Tonight,1142.0
911,1140.0
Someday Out Of The Blue,1128.0
Sour Girl,1128.0
What Do You Say,1121.0
Shackles (Praise You),1118.0
Deep Inside,1110.0
We Danced,1098.0
Born To Fly,1094.0
From The Bottom Of My Broken Heart,1090.0
The Little Girl,1090.0
Girls Dem Sugar,1086.0
It's Always Somethin',1084.0
One Night Stand,1078.0
Back At One,1077.0
Whoa!,1070.0
I Will Love Again,1067.0
I Like It,1057.0
Best Of Intentions,1052.0
(Hot S**t) Country Grammar,1050.0
